data_fall_0,data_fall_1,data_fall_2,data_fall_3,data_fall_4,data_fall_5,data_fall_6,data_fall_7,data_fall_8,data_fall_9,data_nothing_0,data_nothing_1,data_nothing_2,data_nothing_3,data_nothing_4,data_nothing_5,data_nothing_6,data_nothing_7,data_nothing_8,data_nothing_9,data_sittingdown_0,data_sittingdown_1,data_sittingdown_2,data_sittingdown_3,data_sittingdown_4,data_sittingdown_5,data_sittingdown_6,data_sittingdown_7,data_sittingdown_8,data_sittingdown_9,data_standingup_0,data_standingup_1,data_standingup_2,data_standingup_3,data_standingup_4,data_standingup_5,data_standingup_6,data_standingup_7,data_standingup_8,data_standingup_9,data_standing_0,data_standing_1,data_standing_2,data_standing_3,data_standing_4,data_standing_5,data_standing_6,data_standing_7,data_standing_8,data_standing_9,data_walkingtoleft_0,data_walkingtoleft_1,data_walkingtoleft_2,data_walkingtoleft_3,data_walkingtoleft_4,data_walkingtoleft_5,data_walkingtoleft_6,data_walkingtoleft_7,data_walkingtoleft_8,data_walkingtoleft_9,data_walkingtoright_0,data_walkingtoright_1,data_walkingtoright_2,data_walkingtoright_3,data_walkingtoright_4,data_walkingtoright_5,data_walkingtoright_6,data_walkingtoright_7,data_walkingtoright_8,data_walkingtoright_9
122,121,121,121,121,119,124,121,120,120,119,119,120,120,121,119,120,120,121,119,118,118,117,119,118,121,119,119,121,117,117,117,116,116,119,117,119,117,121,119,118,118,118,117,118,119,120,121,121,119,115,116,116,115,114,114,117,115,114,113,119,119,119,116,116,117,115,116,117,117
121,119,122,122,122,123,119,121,122,124,120,119,119,119,119,118,120,120,120,121,118,117,119,119,117,119,116,119,121,118,117,116,115,119,118,116,120,118,120,119,120,118,122,115,119,119,118,117,119,119,115,115,114,116,115,115,117,119,115,112,117,119,120,116,117,117,115,118,117,118
121,123,119,121,123,119,120,122,121,122,118,118,117,120,119,121,120,118,122,118,118,115,120,119,118,118,119,120,119,119,120,117,116,118,118,115,121,118,118,118,119,117,121,116,118,120,117,119,120,120,114,116,114,115,117,113,115,118,115,112,116,117,119,115,115,118,118,119,115,116
122,121,123,121,119,123,120,120,123,123,120,119,122,119,119,118,118,119,117,120,120,118,120,118,119,120,119,120,121,117,120,117,118,119,119,116,119,116,117,120,117,118,117,118,118,119,119,117,119,119,117,116,113,113,117,115,116,117,115,114,116,119,119,115,116,118,119,117,117,119
123,122,122,122,122,123,121,120,122,122,118,121,121,121,118,119,119,118,119,119,120,117,118,118,118,119,120,122,117,117,120,117,118,117,119,115,119,118,121,121,119,118,121,119,119,120,120,117,119,121,115,115,115,114,116,115,115,119,115,114,118,116,118,115,115,117,119,117,115,116
122,122,119,120,120,121,121,118,122,121,121,120,119,120,120,119,121,122,121,121,118,116,117,117,117,120,121,119,119,120,120,117,118,119,116,117,120,117,119,119,119,119,119,119,117,120,119,117,118,120,115,116,115,114,115,115,116,119,114,114,119,116,118,117,118,118,117,118,116,118
123,121,122,122,120,120,119,122,125,123,118,122,119,121,121,119,121,120,121,118,118,115,118,119,117,121,124,119,117,118,119,116,119,117,118,117,117,120,117,121,120,118,120,119,120,119,120,119,120,119,116,116,114,114,117,115,116,115,114,113,120,118,117,115,117,119,118,117,115,116
121,119,122,122,119,120,122,120,123,124,121,117,121,120,118,121,118,118,119,120,118,118,119,118,119,120,117,119,119,119,120,115,115,117,119,117,119,116,120,121,118,118,119,116,120,118,119,119,120,118,115,117,115,114,117,118,116,115,116,114,119,117,120,116,117,118,117,119,115,117
123,119,119,121,122,124,119,120,124,121,121,122,119,117,120,117,119,122,121,118,119,117,117,118,117,120,117,118,121,118,118,116,118,118,126,116,120,117,120,118,120,117,120,117,117,118,120,118,117,117,114,115,114,114,115,115,116,118,115,113,118,118,118,115,118,119,117,118,118,117
121,122,119,119,122,122,121,120,121,123,120,120,120,121,120,119,121,119,118,119,118,118,120,118,119,118,120,121,122,118,120,115,116,118,119,117,118,119,119,119,119,118,118,118,119,118,119,120,120,120,116,116,114,115,116,114,116,116,115,114,117,117,116,116,117,119,118,115,118,118
