data_standing_0,data_standing_1,data_standing_2,data_standing_3,data_standing_4,data_standing_5,data_standing_6,data_standing_7,data_standing_8,data_standing_9
11,0,8,0,4,2,0,3,32,0
14,1,7,0,1,0,1,0,4,0
0,3,11,0,0,1,0,0,5,0
0,2,29,0,0,1,1,0,6,0
0,1,58,2,1,1,0,0,18,0
0,0,47,0,0,0,0,0,0,0
0,0,24,0,0,1,1,0,0,0
2,1,16,0,0,2,0,5,7,0
4,0,23,0,0,0,0,1,36,0
3,0,72,1,0,0,0,0,1,3
23,0,48,0,0,10,1,0,0,0
4,3,14,5,0,6,6,0,4,0
0,0,27,1,0,6,0,0,5,2
0,1,28,0,0,1,0,0,0,0
14,0,73,0,0,0,0,0,1,0
3,0,78,0,0,5,0,1,0,1
2,0,59,3,2,1,0,0,26,2
4,0,33,13,1,5,0,2,31,0
2,0,29,24,3,0,0,1,6,0
5,0,5,20,0,0,0,4,3,1
18,0,0,24,1,0,5,0,0,0
5,0,7,53,0,3,1,0,1,0
13,0,18,24,1,0,0,0,3,2
1,0,26,27,14,0,0,2,0,0
74,2,27,16,0,0,5,2,5,0
172,4,5,3,0,1,12,2,2,2
64,0,16,2,0,17,23,10,4,0
23,2,3,0,0,19,46,0,1,3
69,7,2,0,0,2,40,0,4,0
8,0,0,0,5,0,23,1,8,4
3,0,3,0,0,1,16,2,7,0
7,0,12,0,0,3,2,0,16,0
10,0,0,0,0,7,0,5,4,1
9,0,0,0,0,21,0,0,10,0
2,0,0,0,1,2,0,0,0,0
0,0,10,0,1,0,3,0,4,2
21,0,1,3,23,0,0,0,9,0
21,0,29,1,2,2,0,0,0,2
2,0,0,0,4,1,2,0,0,0
3,0,0,0,2,3,0,0,0,0
1,4,0,0,1,0,2,0,0,0
10,1,2,0,31,4,2,0,0,0
4,0,0,0,9,1,0,0,0,2
15,0,6,0,0,1,2,3,0,0
2,0,6,0,12,2,20,6,6,9
5,0,0,2,0,2,8,3,2,1
7,0,15,0,3,2,29,0,0,0
0,1,6,1,0,22,2,0,0,2
11,0,20,0,0,5,2,0,0,0
0,0,10,0,2,5,30,0,2,0
15,0,15,0,0,2,4,0,0,1
0,0,1,0,11,1,9,0,1,0
0,0,0,0,1,2,1,0,0,5
1,0,0,0,2,1,8,1,0,9
0,0,0,0,42,0,0,0,0,0
0,0,5,0,6,0,0,0,0,0
0,0,5,0,0,0,0,0,0,5
0,0,13,0,5,1,1,0,2,2
0,24,12,9,5,0,12,4,4,0
0,14,4,10,0,66,0,0,0,10
0,0,29,2,0,19,1,9,3,0
0,1,5,0,0,55,0,0,7,0
0,12,11,60,0,8,1,20,0,5
1,18,16,0,0,22,1,3,3,1
8,10,11,0,0,3,0,10,1,0
0,4,19,3,0,0,0,0,0,0
2,30,4,0,0,0,0,0,0,1
1,17,4,0,4,4,1,0,0,0
15,1,2,0,4,3,0,0,0,0
1,1,4,0,1,9,0,0,0,0
2,0,6,9,1,2,2,3,0,0
12,2,1,0,0,0,2,1,5,0
0,11,6,0,0,14,2,0,1,3
0,2,1,0,1,0,0,1,0,2
0,21,1,18,0,27,0,0,0,0
0,0,3,21,3,52,0,1,2,0
0,0,3,0,0,10,3,14,0,0
0,0,7,1,1,2,0,1,5,0
0,0,0,1,1,0,0,1,20,0
0,0,5,5,0,8,0,1,7,1
0,0,0,0,0,3,1,0,0,0
2,0,2,0,0,0,0,0,0,0
0,3,9,3,0,11,0,1,5,0
0,3,3,0,4,10,3,0,10,0
2,1,10,1,14,19,0,0,7,2
21,20,7,0,43,0,0,2,1,0
56,6,5,0,9,2,0,0,1,0
62,0,0,0,8,6,0,0,0,1
0,0,17,0,37,14,0,0,0,8
6,0,2,0,7,5,0,0,6,27
2,0,27,2,0,29,0,0,1,1
25,1,14,0,0,0,0,2,0,1
11,2,1,0,2,1,2,0,0,1
1,6,2,0,4,7,0,0,0,9
2,14,1,3,5,7,0,0,0,0
0,4,4,7,1,1,1,0,1,0
4,8,13,0,22,0,0,0,0,0
0,6,19,0,0,0,0,0,0,5
0,3,1,0,40,0,0,0,0,0
0,0,2,2,0,7,2,0,0,0
0,7,3,0,6,1,1,0,1,14
0,4,22,0,9,0,8,0,0,38
0,12,71,5,0,2,2,0,0,7
2,19,7,0,2,1,2,0,0,0
0,27,0,2,8,5,0,0,1,2
0,6,6,0,1,0,1,2,0,6
2,1,3,0,0,0,0,0,0,0
0,0,0,0,0,3,5,0,0,0
1,3,0,0,2,3,0,26,0,0
0,10,1,3,0,9,3,1,0,0
0,4,10,5,0,0,0,1,0,2
0,1,8,0,1,0,0,2,0,4
0,8,1,0,6,1,5,4,0,0
0,8,0,8,4,0,38,6,1,9
0,17,3,16,1,0,11,3,0,7
1,32,10,0,1,0,0,0,0,0
0,26,3,15,0,0,0,0,0,0
0,30,1,0,8,0,0,34,3,10
0,5,0,4,4,1,0,0,0,1
0,5,1,0,5,0,1,0,0,1
0,11,1,0,8,14,2,2,0,2
0,8,0,0,0,0,4,5,2,0
0,16,0,3,0,0,6,0,0,7
0,2,0,0,0,1,2,56,0,15
1,0,0,0,8,0,0,68,0,2
0,0,0,0,68,3,0,3,0,4
0,0,1,0,39,0,0,5,2,1
0,0,0,0,0,0,0,0,1,3
4,5,1,0,0,4,2,3,0,1
0,48,0,0,0,4,11,0,1,2
0,57,13,0,0,0,9,25,2,11
0,77,0,3,0,8,19,0,0,2
0,45,1,0,0,0,11,0,4,40
0,11,1,0,0,0,1,0,11,1
0,24,0,0,0,0,0,0,0,1
0,4,0,3,0,0,0,13,0,0
0,10,1,0,0,0,1,8,0,98
0,18,0,0,0,0,0,4,1,10
0,7,0,4,0,0,0,0,0,56
0,2,1,0,1,3,0,0,0,11
