data_fall_0,data_fall_1,data_fall_2,data_fall_3,data_fall_4,data_fall_5,data_fall_6,data_fall_7,data_fall_8,data_fall_9,data_nothing_0,data_nothing_1,data_nothing_2,data_nothing_3,data_nothing_4,data_nothing_5,data_nothing_6,data_nothing_7,data_nothing_8,data_nothing_9,data_sittingdown_0,data_sittingdown_1,data_sittingdown_2,data_sittingdown_3,data_sittingdown_4,data_sittingdown_5,data_sittingdown_6,data_sittingdown_7,data_sittingdown_8,data_sittingdown_9,data_standingup_0,data_standingup_1,data_standingup_2,data_standingup_3,data_standingup_4,data_standingup_5,data_standingup_6,data_standingup_7,data_standingup_8,data_standingup_9,data_standing_0,data_standing_1,data_standing_2,data_standing_3,data_standing_4,data_standing_5,data_standing_6,data_standing_7,data_standing_8,data_standing_9,data_walkingtoleft_0,data_walkingtoleft_1,data_walkingtoleft_2,data_walkingtoleft_3,data_walkingtoleft_4,data_walkingtoleft_5,data_walkingtoleft_6,data_walkingtoleft_7,data_walkingtoleft_8,data_walkingtoleft_9,data_walkingtoright_0,data_walkingtoright_1,data_walkingtoright_2,data_walkingtoright_3,data_walkingtoright_4,data_walkingtoright_5,data_walkingtoright_6,data_walkingtoright_7,data_walkingtoright_8,data_walkingtoright_9
-3031,-2488,-2472,-2539,-1194,-425,-1114,-956,-1360,-2584,-6336,-12173,-4817,-12324,-2215,-5005,-1176,-1586,-3698,-3888,-1711,-7110,-5406,-7497,-7140,-6138,-5233,-3840,-6988,-5994,-1461,-8025,-7784,-7776,-11062,-7123,-10098,-10549,-6469,-382,-2472,-8548,-345,-6254,-8563,-6099,-1111,-4469,-13356,-10584,-14000,-14000,-14000,-14000,-14000,-14000,-14000,-14000,-14000,-14000,-14000,-14000,-7254,-5812,-6077,-4572,-14000,-7941,-5637,-4885
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,,1,1,1
-568,-22,-24,-205,-1858,-2132,-1408,-1730,-875,-291,-875,-1826,-684,-1675,-11784,-4764,-6233,-6738,-4187,-6670,-6,-3,-365,-1,-3,-9,-875,-2153,-6,-200,-1,-1183,-58,-710,-27,-965,-354,-8,-2212,-2437,-9,-1857,-1135,-7745,-1077,-7900,-4223,-8011,-643,-3078,,,,,,,,,,,,,-6745,-8187,-671,-3021,,-6058,-2627,-3551
1,2,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,2,19,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,,,,,,,,,,,,,,,1,1,,,1,1
-30,-62,-23,-153,-2473,-51,-7,-8,-285,-391,-4486,,-8497,,,-2002,-5159,-2820,-1327,-3440,-836,-247,-1,-1,-3653,-538,-1366,-119,-123,-504,-3,-3426,-1,-513,-1495,-1196,-10,-6,-1211,-5024,-45,-1876,-2262,,-209,,-7623,-1518,,-336,,,,,,,,,,,,,,,-7250,-6405,,,-5734,-76
1,1,1,1,1,1,2,1,1,2,1,,,,,1,1,1,1,,1,1,1,5,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1
-153,-25,-66,-5216,-2130,-1083,-2,-59,-1,-62,-2300,,,,,-2226,-403,-2742,-4785,,-1,-4,-3,-1,-3201,-2,-462,-9,-1,-4,-61,-1363,-1,-1542,-2,-309,-1,-1,-6,-186,-1,-1716,-2599,,-1926,,-1040,,,,,,,,,,,,,,,,,,,,,,,-5485
1,4,1,1,1,1,3,1,3,1,,,,,,,1,1,,,1,1,1,5,,3,1,1,9,1,1,,1,3,1,1,5,1,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
-37,-73,-63,-783,-7,-3532,-2,-876,-1,-309,,,,,,,-1025,-110,,,-3,-187,-2,-1,,-1,-412,-419,-1,-2,-62,,-2,-21,-3,-153,-1,-5,-3,-1,-2,,-866,,-751,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,1,1,2,5,,1,1,1,2,4,1,,1,1,3,1,2,1,1,2,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
-6,-1,-74,-59,-2,-47,-3,-1106,-2,-1245,,,,,,,,,,,-1530,-256,-4,-1,,-2,-13,-133,-326,-3,-1913,,-54,-5,-3,-3,-2,-1,-4094,-305,-49,,-6788,,-1469,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,1,1,1,2,1,4,1,,,,,,,,,,,1,1,2,4,,1,3,2,1,2,1,,1,1,1,1,1,2,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24,-27,-5726,-50,-3,-687,-2,-336,-1,-3814,,,,,,,,,,,-94,-4,-653,-5251,,-2,-5631,-238,-3,-2,-4,,-3,-6,-7,-4,-4,-1,,-119,-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,1,1,1,2,1,1,1,,,,,,,,,,,1,1,1,1,,2,,1,2,2,1,,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-2,-530,-1,-65,-1,-71,-1785,-1,-15,,,,,,,,,,,-9812,-3,-2,-1206,,-115,,-4,-1,-132,-10486,,-230,-12,-1,-129,-3,-11,,-8,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,4,1,1,1,1,1,1,,,,,,,,,,,,1,1,,,1,,2,4,1,,,1,2,1,3,3,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30,-2,-35,-84,-4,-1,-1,-377,-72,-66,,,,,,,,,,,,-8,-386,,,-1,,-176,-3,-32,,,-987,-1122,-7,-269,-1,-5,,-114,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,3,1,1,1,1,1,1,,,,,,,,,,,,1,2,,,4,,1,1,4,,,6,3,2,1,9,3,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,-32,-3,-1,-170,-102,-7,-9,-9,-4,,,,,,,,,,,,-935,-1,,,-1,,-14,-3,-134,,,-4,-1,-12,-2,-1,-6,,-71,-161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1,1,2,1,1,1,1,1,,,,,,,,,,,,1,2,,,5,,1,1,1,,,2,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-2,-35,-3,-493,-1,-216,-51,-64,-3,,,,,,,,,,,,-663,-1,,,-1,,-3,-107,-1,,,-1,-2277,-16,-422,-1,-1,,-1830,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,6,1,1,1,1,1,1,2,,,,,,,,,,,,1,6,,,2,,1,18,1,,,2,,1,1,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29,-1688,-1,-62,-2,-59,-430,-1,-68,-1,,,,,,,,,,,,-4569,-1,,,-2,,-5,-4,-1,,,-2,,-1351,-13,-2,-3,,-5,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,3,1,2,1,1,1,1,1,,,,,,,,,,,,,3,,,1,,1,2,7,,,1,,,1,1,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,-3909,-38,-1,-3,-4,-1282,-59,-186,-4,,,,,,,,,,,,,-2,,,-107,,-2,-948,-84,,,-244,,,-9,-1,-1,,-3,-5736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,10,4,2,1,1,1,1,1,,,,,,,,,,,,,1,,,1,,1,2,1,,,1,,,1,2,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28,-2,-2,-1,-257,-3,-2318,-1,-544,-233,,,,,,,,,,,,,-1,,,-3,,-2,-4,-238,,,-2,,,-4,-1,-4,,-1,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,3,1,1,1,1,1,1,,,,,,,,,,,,,1,,,3,,1,1,1,,,2,,,1,4,2,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-4,-1,-29,-1,-1,-53,-12,-154,-2,,,,,,,,,,,,,-1,,,-168,,-1,-18,-1,,,-1,,,-4,-1,-2,,-1,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,3,,,1,,2,1,8,,,1,,,1,6,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24,-645,-37,-1,-5,-39,-1,-1,-1076,-4,,,,,,,,,,,,,-254,,,-6,,-1,-3,-3,,,-1,,,-3,-2,-1,,-2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,8,3,1,1,2,2,1,1,,,,,,,,,,,,,1,,,3,,3,1,1,,,1,,,2,5,1,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,-345,-1,-1,-69,-2,-4,-13,-1587,-1,,,,,,,,,,,,,-4,,,-1,,-1539,-8,-57,,,-1,,,-2,-4,-3,,-4,-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,2,2,2,1,1,1,,,,,,,,,,,,,1,,,6,,1,1,1,,,1,,,1,1,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27,-110,-35,-1,-1,-1,-48,-52,-1306,-2,,,,,,,,,,,,,-2,,,-1,,-3,-579,-6,,,-1,,,-9,-2,-25,,-1,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,1,1,1,3,2,1,1,1,,,,,,,,,,,,,1,,,2,,1,2,1,,,1,,,1,2,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26,-1,-2,-27,-1,-64,-2,-8,-83,-2,,,,,,,,,,,,,-1,,,-1,,-84,-4,-1,,,-45,,,-1013,-2,-8,,-2,-5236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3,6,1,1,2,1,1,1,,,,,,,,,,,,,1,,,1,,1,1,1,,,12,,,1,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27,-2,-1,-1,-1,-387,-1,-1,-100,-74,,,,,,,,,,,,,-2,,,-3,,-1,-1,-2,,,-2,,,-29,-1,-37,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,9,1,3,1,1,2,1,1,,,,,,,,,,,,,1,,,1,,2,1,1,,,2,,,1,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,-27,-1,-23,-95,-2,-42,-1,-236,-5,,,,,,,,,,,,,-2,,,-6,,-1,-92,-58,,,-1,,,-5,-3,-818,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,1,1,1,2,1,1,,,,,,,,,,,,,1,,,1,,1,4,1,,,1,,,2,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-41,-1,-2,-72,-3,-2,-15,-58,,,,,,,,,,,,,-8,,,-105,,-1,-87,-8,,,-45,,,-2,-636,-364,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,7,1,1,1,2,1,1,,,,,,,,,,,,,1,,,1,,2,1,1,,,2,,,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-4,-74,-1,-1,-7,-3,,,,,,,,,,,,,-1882,,,-297,,-1,-232,-5,,,-1,,,-2305,-2,-151,,-1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,8,1,2,2,1,1,1,2,,,,,,,,,,,,,1,,,1,,1,1,1,,,4,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73,-116,-1,-24,-2,-1,-1,-2,-71,-3,,,,,,,,,,,,,-3781,,,-7,,-2,-477,-644,,,-143,,,,-12,-11,,-268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,2,1,4,1,1,1,1,,,,,,,,,,,,,1,,,1,,1,1,1,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
